,Gender,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
111,M,Baker,Bakery,Arkansas,Stores,39.04622933,1.733551364,56.30433228,Stores
112,F,Baker,Bakery,California,Stores,37.49357924,5.272417507,25.46792975,Stores
113,F,Baker,Bakery,Arkansas,Stores,47.5184211,3.813679718,96.88371667,Stores
114,F,Baker,Bakery,Tennessee,Stores,50.24461391,3.450234407,118.490501,Stores
115,F,Baker,Bakery,Illinois,Stores,40.32982676,6.277340487,34.02042059,Stores
116,F,Baker,Bakery,Mississippi,Stores,36.92447866,6.283404129,72.79408579,Stores
119,F,Baker,Bakery,Delaware,Stores,58.57572963,6.547789836,153.2632323,Stores
121,M,Baker,Bakery,California,Stores,43.20353674,7.921398042,53.84737103,Stores
122,F,Baker,Bakery,Michigan,Stores,52.64638663,4.990343166,113.9617749,Stores
123,M,Baker,Bakery,New Hampshire,Stores,45.82458879,3.39067547,79.10668824,Stores
124,M,Baker,Bakery,Nevada,Stores,35.53798668,5.764585657,29.98231177,Stores
125,F,Baker,Bakery,New Mexico,Stores,37.84977345,1.976125041,68.40403177,Stores
126,F,Accounts Payable Clerk,Accounts Payable,Illinois,FinanceAndAccounting,43.2858,21.122314,30.99399888,HeadOffice
128,M,Baker,Bakery,Kentucky,Stores,45.92597301,6.680159831,40.05948151,Stores
129,F,Baker,Bakery,Arkansas,Stores,32.63626674,3.122804778,49.65651125,Stores
130,F,Baker,Bakery,Vermont,Stores,39.38889368,3.731981529,94.2773662,Stores
131,M,Baker,Bakery,Virginia,Stores,35.69832217,1.881003024,58.09452779,Stores
132,M,Baker,Bakery,Nevada,Stores,49.71959048,4.205191727,62.16083824,Stores
133,M,Accounts Payable Clerk,Accounts Payable,Maryland,FinanceAndAccounting,54.67226,17.149135,30.45802032,HeadOffice
134,F,Baker,Bakery,South Carolina,Stores,44.00556211,3.729336444,90.81179196,Stores
135,M,Accounts Receiveable Clerk,Accounts Receiveable,West Virginia,FinanceAndAccounting,36.480086,18.480086,37.1157124,HeadOffice
137,M,Baker,Bakery,Wyoming,Stores,43.1563698,5.174066619,63.18923992,Stores
138,M,Baker,Bakery,New York,Stores,56.55995386,4.927399666,101.9347516,Stores
139,M,Baker,Bakery,Delaware,Stores,43.12316447,2.480452998,45.48992662,Stores
140,F,Baker,Bakery,Arkansas,Stores,50.35361623,3.006138301,124.2025327,Stores
141,M,Baker,Bakery,Virginia,Stores,49.47613903,4.687620059,56.92397595,Stores
143,F,Accounts Receiveable Clerk,Accounts Receiveable,Alaska,FinanceAndAccounting,44.10973,11.954267,111.7755846,HeadOffice
145,M,Baker,Bakery,Oregon,Stores,61.44050167,3.439750719,96.260697,Stores
146,M,Baker,Bakery,Michigan,Stores,47.87764919,3.44226196,58.15296878,Stores
147,F,Accounts Receiveable Clerk,Accounts Receiveable,Delaware,FinanceAndAccounting,34.6622,5.689747,40.14572515,HeadOffice
148,F,Baker,Bakery,South Carolina,Stores,37.85526055,7.02162411,92.24730012,Stores
149,M,Baker,Bakery,Georgia,Stores,57.89963249,5.586855486,116.0821581,Stores
150,M,Accounts Receiveable Clerk,Accounts Receiveable,Idaho,FinanceAndAccounting,37.24006,2.759389,24.50390384,HeadOffice
151,M,Baker,Bakery,Minnesota,Stores,37.97420752,2.519988839,17.06972082,Stores
152,F,Accounts Receiveable Clerk,Accounts Receiveable,Michigan,FinanceAndAccounting,40.49192,6.408469,90.16966119,HeadOffice
153,M,Baker,Bakery,New York,Stores,49.07042916,6.154288207,46.52578004,Stores
154,F,Baker,Bakery,New Mexico,Stores,55.93339775,4.507594802,156.6886593,Stores
155,F,Baker,Bakery,Utah,Stores,27.38177556,5.882383018,14.38568387,Stores
156,F,Baker,Bakery,Washington,Stores,51.85696413,2.856147379,113.2580344,Stores
157,F,Baker,Bakery,Alabama,Stores,61.3978081,2.771944271,159.968214,Stores
158,M,Baker,Bakery,Minnesota,Stores,66.06890246,4.235105015,223.778841,Stores
160,M,Baker,Bakery,Indiana,Stores,40.45052007,3.839194051,79.12363725,Stores
161,M,Baker,Bakery,Maryland,Stores,57.35063799,6.032330926,154.2577252,Stores
164,F,Baker,Bakery,Wyoming,Stores,52.1325405,6.524270599,88.45913805,Stores
166,M,Baker,Bakery,Michigan,Stores,54.55066069,5.582832837,95.49894843,Stores
167,M,Baker,Bakery,Nevada,Stores,49.85965201,3.415872649,120.0797189,Stores
170,F,Baker,Bakery,Oregon,Stores,42.51405735,0.696873054,82.89702302,Stores
171,F,Baker,Bakery,Wyoming,Stores,49.27493559,5.039542872,121.3682638,Stores
172,M,Baker,Bakery,Arkansas,Stores,38.15800998,3.999675679,34.20118293,Stores
173,F,Auditor,Audit,Ohio,FinanceAndAccounting,45.5594,14.410268,69.47820963,HeadOffice
174,M,Baker,Bakery,Nebraska,Stores,44.0545011,4.48261494,56.19587246,Stores
175,F,Baker,Bakery,New York,Stores,43.53401993,4.978325753,61.49474478,Stores
176,F,Baker,Bakery,Colorado,Stores,42.63644281,5.982794346,60.09046813,Stores
177,F,Baker,Bakery,Nevada,Stores,44.24521906,0.840480646,66.31549844,Stores
178,M,Baker,Bakery,Texas,Stores,45.94124227,3.842333733,71.55570239,Stores
179,M,Baker,Bakery,Maryland,Stores,37.99890445,6.982080942,33.94380532,Stores
180,F,Baker,Bakery,Colorado,Stores,33.403431,3.959062909,46.92397933,Stores
181,M,Baker,Bakery,Arizona,Stores,40.34235317,3.204713851,40.23300149,Stores
182,M,Baker,Bakery,Rhode Island,Stores,37.80852455,4.947165495,29.16170217,Stores
183,F,Baker,Bakery,Oklahoma,Stores,42.31715261,2.048207893,44.15691237,Stores
184,M,Auditor,Audit,Oregon,FinanceAndAccounting,45.01263,12.688114,47.51121024,HeadOffice
186,F,Auditor,Audit,Vermont,FinanceAndAccounting,49.14973,1.0,121.7851932,HeadOffice
187,M,Baker,Bakery,Minnesota,Stores,35.36492589,5.028810793,31.13908709,Stores
188,F,Baker,Bakery,Oregon,Stores,53.64586019,5.138841132,79.22102251,Stores
189,F,Auditor,Audit,Pennsylvania,FinanceAndAccounting,43.934345,25.934345,38.55781831,HeadOffice
191,F,Baker,Bakery,Rhode Island,Stores,46.68367521,5.312088904,44.74428082,Stores
192,M,Baker,Bakery,Louisiana,Stores,44.60240143,4.41770495,93.42104381,Stores
193,M,Baker,Bakery,Texas,Stores,48.76869491,5.696230561,96.65594514,Stores
194,M,Baker,Bakery,South Dakota,Stores,50.76459344,1.265974742,71.73266923,Stores
195,M,Baker,Bakery,Alabama,Stores,59.01548877,3.241373868,109.2478897,Stores
196,M,Baker,Bakery,New Mexico,Stores,35.98656738,4.453742125,12.57657646,Stores
197,M,Baker,Bakery,Indiana,Stores,51.39517039,3.682661001,34.0739579,Stores
198,F,Baker,Bakery,Georgia,Stores,57.43314763,5.885415633,154.8111128,Stores
199,M,Baker,Bakery,Rhode Island,Stores,52.65101839,5.299719684,90.2876122,Stores
200,M,Baker,Bakery,Utah,Stores,52.1874037,3.960580937,113.0661266,Stores
201,F,Baker,Bakery,New York,Stores,51.77301121,3.908676273,106.5730043,Stores
202,F,Baker,Bakery,Hawaii,Stores,35.11682533,5.865363012,12.10318321,Stores
203,M,Baker,Bakery,Illinois,Stores,52.99893588,4.219663308,84.32384993,Stores
204,M,Baker,Bakery,South Dakota,Stores,43.73002137,5.168028157,66.34602697,Stores
207,F,Auditor,Audit,New York,FinanceAndAccounting,57.87456,19.248894,72.92419805,HeadOffice
210,M,Baker,Bakery,Nevada,Stores,36.38184177,4.953196152,33.52879809,Stores
211,M,Baker,Bakery,North Dakota,Stores,44.84727769,5.170380512,61.73170524,Stores
212,M,Baker,Bakery,North Carolina,Stores,54.43216037,4.243228337,111.0545762,Stores
213,M,Baker,Bakery,Missouri,Stores,60.37304921,2.251922005,174.6845171,Stores
214,F,Auditor,Audit,New Hampshire,FinanceAndAccounting,37.098383,19.098383,46.77119065,HeadOffice
215,M,Auditor,Audit,Tennessee,FinanceAndAccounting,44.93259,11.374388,41.62491736,HeadOffice
216,M,Baker,Bakery,Kentucky,Stores,43.91164167,5.502563615,95.4168043,Stores
217,M,Baker,Bakery,Nevada,Stores,45.45783561,4.594193677,22.49132554,Stores
218,F,Baker,Bakery,Georgia,Stores,37.49657444,6.270841741,59.38794448,Stores
219,F,Auditor,Audit,North Dakota,FinanceAndAccounting,49.67844,12.688541,57.22786992,HeadOffice
220,M,Baker,Bakery,New Jersey,Stores,42.78966516,2.483440021,45.13933554,Stores
221,M,Baker,Bakery,Nevada,Stores,34.80801888,6.462199055,50.51860074,Stores
222,M,Baker,Bakery,Pennsylvania,Stores,44.71639495,4.551809045,62.15482382,Stores
223,F,Baker,Bakery,Oklahoma,Stores,39.93536429,6.609689398,16.055531,Stores
224,F,Baker,Bakery,Florida,Stores,47.50043293,2.363185013,85.37866147,Stores
226,M,Baker,Bakery,Iowa,Stores,41.60450461,4.004897104,39.67547177,Stores
227,F,Baker,Bakery,Arkansas,Stores,44.22969208,5.520121991,57.18578016,Stores
228,F,Baker,Bakery,Kentucky,Stores,37.2991166,6.880356905,38.10079038,Stores
229,F,Baker,Bakery,Ohio,Stores,42.46407075,3.729081549,118.5860854,Stores
230,M,Auditor,Audit,Maryland,FinanceAndAccounting,39.31457,14.613758,28.89700216,HeadOffice
231,M,Baker,Bakery,Texas,Stores,43.35590303,5.955207373,73.39635973,Stores
232,M,Baker,Bakery,Hawaii,Stores,48.48461962,4.929204151,86.86241559,Stores
233,F,Baker,Bakery,Iowa,Stores,45.28880825,6.267979432,106.7733033,Stores
235,F,Baker,Bakery,Louisiana,Stores,51.7865376,5.205942693,107.8343573,Stores
236,M,Baker,Bakery,Maryland,Stores,43.46696293,2.826842165,10.68473537,Stores
237,F,Baker,Bakery,Montana,Stores,37.71197934,2.218388271,31.99564508,Stores
238,F,Baker,Bakery,Virginia,Stores,51.03145944,7.100793025,131.023489,Stores
239,M,Baker,Bakery,Minnesota,Stores,54.49284808,5.640629096,123.5629654,Stores
240,F,Baker,Bakery,Connecticut,Stores,28.9172471,2.244451155,21.03904881,Stores
241,F,Baker,Bakery,Mississippi,Stores,55.70889907,5.225591189,173.8371942,Stores
242,M,Bakery Manager,Bakery,Massachusetts,Stores,43.19064154,8.109839161,20.93704925,Stores
243,F,Baker,Bakery,Kansas,Stores,38.10720123,2.905915461,47.54204413,Stores
244,M,Bakery Manager,Bakery,Ohio,Stores,37.74238941,5.388619589,30.81552612,Stores
245,F,Baker,Bakery,Indiana,Stores,36.48949145,7.144228322,27.60126686,Stores
246,F,Baker,Bakery,Kansas,Stores,54.75064529,5.919600934,152.1244924,Stores
247,F,Baker,Bakery,Maine,Stores,44.77484922,4.778751376,39.57679255,Stores
248,M,Baker,Bakery,New Jersey,Stores,56.11144912,6.904709931,174.8647281,Stores
249,F,Baker,Bakery,Nevada,Stores,34.11491876,1.620817039,4.006486432,Stores
250,M,Baker,Bakery,Idaho,Stores,35.97228115,3.579663341,65.57723116,Stores
252,F,Baker,Bakery,Michigan,Stores,35.7258357,4.155243385,44.50048614,Stores
254,M,Baker,Bakery,Maine,Stores,44.57034084,4.188334866,91.35291618,Stores
255,F,Baker,Bakery,Nevada,Stores,38.19626612,6.728007933,59.95757031,Stores
256,F,Baker,Bakery,Massachusetts,Stores,38.31640412,5.005929687,28.53802654,Stores
257,F,Baker,Bakery,Nevada,Stores,54.60035641,3.414992262,112.6071529,Stores
258,M,Baker,Bakery,Delaware,Stores,52.62338815,5.32818421,84.6091321,Stores
259,M,Bakery Manager,Bakery,Mississippi,Stores,32.62756763,5.880796835,20.52608989,Stores
261,M,Baker,Bakery,Virginia,Stores,36.14779144,3.136688027,26.70137233,Stores
262,M,Baker,Bakery,Massachusetts,Stores,46.19207185,3.959449201,28.78416405,Stores
263,F,Baker,Bakery,Louisiana,Stores,32.16838201,5.768871951,40.49575113,Stores
264,M,Baker,Bakery,Alabama,Stores,39.94819217,3.641443235,49.90548322,Stores
265,M,Baker,Bakery,Colorado,Stores,44.77063917,5.473203065,71.6224049,Stores
266,F,Baker,Bakery,Michigan,Stores,40.23564643,7.969360463,22.72600698,Stores
267,M,Baker,Bakery,New Hampshire,Stores,47.7864692,5.409125372,20.11226488,Stores
269,F,Baker,Bakery,Georgia,Stores,49.23854802,5.342303525,75.60492624,Stores
270,M,Baker,Bakery,North Carolina,Stores,38.48180344,3.983263282,3.026643536,Stores
271,M,Bakery Manager,Bakery,California,Stores,37.7312481,3.291196527,18.76798501,Stores
272,M,Bakery Manager,Bakery,Louisiana,Stores,57.08813022,5.422745919,122.660478,Stores
273,F,Baker,Bakery,New Hampshire,Stores,34.28082043,5.721009922,28.39811691,Stores
274,F,Baker,Bakery,Rhode Island,Stores,29.30370209,3.32828679,36.26095364,Stores
275,F,Baker,Bakery,South Carolina,Stores,53.97279984,4.725270372,73.9432002,Stores
276,M,Bakery Manager,Bakery,Connecticut,Stores,55.75102139,5.605690978,85.85659878,Stores
277,F,Bakery Manager,Bakery,Illinois,Stores,49.4851649,4.274813211,74.28087994,Stores
278,M,Baker,Bakery,Nebraska,Stores,45.95132139,5.453772607,104.0283792,Stores
280,M,Baker,Bakery,Utah,Stores,40.21737247,5.309408045,36.85759727,Stores
281,F,Baker,Bakery,Alabama,Stores,43.05432623,4.870581501,38.29051282,Stores
282,M,Baker,Bakery,Kentucky,Stores,38.38906678,4.968577776,28.63001058,Stores
283,F,Baker,Bakery,Louisiana,Stores,45.08977998,6.959476071,75.08140597,Stores
284,F,Baker,Bakery,Michigan,Stores,58.95193483,5.312972212,146.0033861,Stores
285,F,Baker,Bakery,South Dakota,Stores,29.6349007,7.847283569,46.67651007,Stores
286,M,Baker,Bakery,Iowa,Stores,64.1862768,4.613496212,198.6057962,Stores
288,M,Baker,Bakery,Indiana,Stores,48.19952531,5.882760132,76.71632648,Stores
290,M,Bakery Manager,Bakery,Arizona,Stores,48.20856562,7.087451834,101.1876391,Stores
291,M,Baker,Bakery,Texas,Stores,46.02262995,4.177042046,102.8105789,Stores
292,F,Bakery Manager,Bakery,Colorado,Stores,35.54491002,3.398417436,95.89296083,Stores
293,F,Baker,Bakery,Connecticut,Stores,53.03555014,2.68683175,139.6920268,Stores
294,F,Baker,Bakery,Wisconsin,Stores,47.74269834,4.31650222,68.54001737,Stores
296,M,Baker,Bakery,Colorado,Stores,47.06341877,4.959406519,44.49102502,Stores
298,F,Baker,Bakery,Louisiana,Stores,43.17225733,3.413951341,68.6669675,Stores
299,M,Benefits Admin,Employee Records,Nebraska,HumanResources,49.81724,26.083188,57.20654368,HeadOffice
301,M,Cashier,Customer Service,Maryland,Stores,55.95054231,6.078620916,83.18389739,Stores
303,M,Baker,Bakery,Vermont,Stores,46.11313148,5.623581958,35.37072859,Stores
304,F,Benefits Admin,Employee Records,Maine,HumanResources,52.68017,5.079882,60.25250171,HeadOffice
306,M,Baker,Bakery,Nevada,Stores,45.91600372,3.975289361,65.69786089,Stores
307,M,Baker,Bakery,Tennessee,Stores,47.0598613,5.691602847,86.27605733,Stores
308,M,Baker,Bakery,Kansas,Stores,46.10034641,4.444679915,75.85883594,Stores
309,F,Benefits Admin,Employee Records,Wisconsin,HumanResources,55.01031,32.350609,113.9021614,HeadOffice
310,F,Baker,Bakery,Iowa,Stores,38.84841513,1.974589769,40.50500469,Stores
311,F,Baker,Bakery,Delaware,Stores,63.64067214,2.064808515,206.8713669,Stores
312,M,Baker,Bakery,New Jersey,Stores,46.40050071,3.789111033,35.57021837,Stores
313,F,Benefits Admin,Employee Records,New Jersey,HumanResources,53.4876,9.940766,42.15238664,HeadOffice
314,M,Baker,Bakery,Arkansas,Stores,45.8087373,3.814751013,107.7054315,Stores
315,F,Baker,Bakery,Oklahoma,Stores,38.19359343,4.489481218,71.13512797,Stores
316,M,Baker,Bakery,Virginia,Stores,61.03372746,2.429702833,181.0606009,Stores
317,M,Benefits Admin,Employee Records,New Mexico,HumanResources,49.65137,21.960999,21.17797032,HeadOffice
321,F,Compensation Analyst,Compensation,Montana,HumanResources,54.78184,17.754217,72.29939142,HeadOffice
322,F,Baker,Bakery,Alaska,Stores,49.35642336,3.402556616,90.58930376,Stores
323,M,Baker,Bakery,Nevada,Stores,37.64279675,6.196562502,13.95236794,Stores
324,M,Baker,Bakery,Maine,Stores,37.92292401,7.783429235,43.26658309,Stores
325,M,Cashier,Customer Service,Oregon,Stores,46.47444666,6.767435204,44.96931708,Stores
326,M,Baker,Bakery,Maryland,Stores,42.26699217,5.240078791,39.06571163,Stores
327,F,Baker,Bakery,Vermont,Stores,49.70256092,3.907616472,127.1518493,Stores
328,M,Baker,Bakery,Illinois,Stores,60.01328716,6.856205911,125.8763124,Stores
329,M,Baker,Bakery,Ohio,Stores,41.20807653,6.954832391,58.95419875,Stores
330,M,Baker,Bakery,Connecticut,Stores,53.77834729,3.574201195,129.270387,Stores
331,M,Baker,Bakery,New York,Stores,51.55788049,4.248976721,90.27111205,Stores
332,M,Baker,Bakery,Maryland,Stores,49.3310176,4.248736359,73.93095013,Stores
333,M,Baker,Bakery,Illinois,Stores,40.68595999,4.326906054,7.234942941,Stores
334,F,Baker,Bakery,Hawaii,Stores,52.38056007,0.937085283,145.8827831,Stores
335,F,Baker,Bakery,Kansas,Stores,34.47078152,4.392234231,23.06389,Stores
336,F,Baker,Bakery,Oklahoma,Stores,48.14741118,4.459393608,50.69225157,Stores
337,F,Baker,Bakery,Maryland,Stores,42.04539396,3.551056692,87.10310132,Stores
338,M,Baker,Bakery,Louisiana,Stores,48.32233424,7.209689888,79.00598166,Stores
339,F,Baker,Bakery,Montana,Stores,46.85967012,7.30558877,92.24606666,Stores
340,F,Baker,Bakery,Pennsylvania,Stores,65.03202077,3.690163126,207.3551542,Stores
341,F,Baker,Bakery,Wisconsin,Stores,40.43092925,2.957327667,57.78513419,Stores
342,F,Baker,Bakery,Delaware,Stores,44.70052933,3.467367139,57.47130909,Stores
343,F,Baker,Bakery,South Carolina,Stores,48.73561807,5.43412175,75.48601993,Stores
345,M,Baker,Bakery,Maryland,Stores,28.82467817,4.313249962,18.74347478,Stores
346,M,Compensation Analyst,Compensation,Nebraska,HumanResources,40.099508,22.099508,120.3801664,HeadOffice
348,M,HRIS Analyst,HR Technology,California,HumanResources,57.83862,6.323964,127.1443971,HeadOffice
349,M,Baker,Bakery,Utah,Stores,46.26318447,2.822267528,55.34484555,Stores
351,M,Baker,Bakery,Alaska,Stores,41.3446638,2.973238555,59.28582039,Stores
352,M,Baker,Bakery,Alaska,Stores,47.77542634,5.372207078,105.1862002,Stores
353,F,Cashier,Customer Service,Utah,Stores,54.04718271,5.787626946,120.2943088,Stores
354,M,Baker,Bakery,California,Stores,46.34636295,6.0577937,96.19213879,Stores
355,F,Baker,Bakery,Arkansas,Stores,50.94350018,3.828198897,146.0447595,Stores
356,M,Baker,Bakery,Iowa,Stores,49.77500929,5.617105011,66.93209081,Stores
357,F,HRIS Analyst,HR Technology,California,HumanResources,62.96501,24.185418,75.94725642,HeadOffice
358,F,Baker,Bakery,Utah,Stores,45.6015481,3.421862484,105.2258301,Stores
359,M,Baker,Bakery,New Jersey,Stores,47.26951676,4.266009831,65.20146094,Stores
361,M,Cashier,Customer Service,Kentucky,Stores,54.64327627,7.579731906,115.6027095,Stores
364,M,Baker,Bakery,Rhode Island,Stores,47.11875464,4.301489007,112.2035569,Stores
366,M,Baker,Bakery,Tennessee,Stores,38.66283732,6.451447982,57.94548715,Stores
